Pos,BoatsCom,Geo, GeoRate 
box-1,,National, 6 
box-1,,Region, 6 
box-1,,State, 8 
box-1,,DMA, 10 
box-2,,National, 5 
box-2,,Region, 5 
box-2,,State, 7 
box-2,,DMA, 9 
box-3,,National, 4 
box-3,,Region, 4 
box-3,,State, 6 
box-3,,DMA, 8 
leaderboard-bottom,,National, 2 
leaderboard-bottom,,Region, 2 
leaderboard-bottom,,State, 3 
leaderboard-bottom,,DMA, 5 
leaderboard-mid-1,FALSE,National, 5 
leaderboard-mid-1,FALSE,Region, 5 
leaderboard-mid-1,FALSE,State, 6 
leaderboard-mid-1,FALSE,DMA, 8 
leaderboard-mid-2,,National, 4 
leaderboard-mid-2,,Region, 4 
leaderboard-mid-2,,State, 5 
leaderboard-mid-2,,DMA, 7 
leaderboard-mid-1,TRUE,National, 4 
leaderboard-mid-1,TRUE,Region, 4 
leaderboard-mid-1,TRUE,State, 6 
leaderboard-mid-1,TRUE,DMA, 8 
