keyval,customertargetingname,Bucket,id
make=Contender,make,Center Consule,"209,336,429,079"
make=bostonwhaler,make,Center Consule,"209,336,406,999"
make=seapro,make,Center Consule,"209,336,576,199"
make=Fountain,make,Center Consule,"209,336,460,519"
make=seavee,make,Center Consule,"209,336,577,879"
class=dualconsole,class,Center Consule,"209,334,308,919"
make=everglades,make,Center Consule,"209,336,449,479"
make=aquasport,make,Center Consule,"209,336,384,679"
class=skiff,class,Center Consule,"209,334,346,359"
make=pursuit,make,Center Consule,"209,336,556,999"
class=powercenterconsole,class,Center Consule,"209,334,320,919"
make=sailfish,make,Center Consule,"209,336,568,759"
make=triton,make,Center Consule,"209,336,605,719"
make=mako,make,Center Consule,"209,336,509,239"
make=nauticstar,make,Center Consule,"209,336,527,239"
make=jupiter,make,Center Consule,"209,336,494,359"
make=parker,make,Center Consule,"209,336,544,759"
make=capehorn,make,Center Consule,"209,336,416,599"
make=SeaHunt,make,Center Consule,"209,336,574,759"
make=shearwater,make,Center Consule,"209,336,580,759"
make=albin,make,Center Consule,"209,336,377,959"
make=shamrock,make,Center Consule,"209,336,580,279"
make=regulator,make,Center Consule,"209,336,560,359"
make=angler,make,Center Consule,"209,336,382,999"
make=sportsman,make,Center Consule,"209,336,588,679"
make=Wellcraft,make,Center Consule,"209,336,617,479"
make=scout,make,Center Consule,"209,336,571,399"
make=trophy,make,Center Consule,"209,336,606,679"
make=edgewater,make,Center Consule,"209,336,445,879"
make=tidewater,make,Center Consule,"209,336,602,839"
make=post,make,Center Consule,"209,336,550,759"
class=flatsboats,class,Center Consule,"209,334,310,599"
make=epic,make,Center Consule,"209,336,448,279"
make=proline,make,Center Consule,"209,336,555,559"
make=century,make,Center Consule,"209,336,421,639"
make=carolinaskiff,make,Center Consule,"209,336,419,239"
make=cobia,make,Center Consule,"209,336,426,439"
make=glasstream,make,Center Consule,"209,336,467,479"
make=hewes,make,Center Consule,"209,336,479,719"
make=deepimpact,make,Center Consule,"209,336,436,999"
make=donzi,make,Center Consule,"209,336,441,079"
make=gradywhite,make,Center Consule,"209,336,468,679"
class=centerconsoles,class,Center Consule,"209,334,303,399"
make=keywest,make,Center Consule,"209,336,496,999"
make=yellowfin,make,Center Consule,"209,336,625,159"
class=flatsboat,class,Center Consule,"209,334,310,359"
class=walkaround,class,Center Consule,"209,334,351,399"
make=seafox,make,Center Consule,"209,336,574,279"
make=Robalo,make,Center Consule,"209,336,564,679"
make=pathfinder,make,Center Consule,"209,336,545,479"
class=CenterConsole,class,Center Consule,"209,334,303,159"
make=seachaser,make,Center Consule,"209,336,573,079"
make=invincible,make,Center Consule,"209,336,486,679"
make=larson,make,Cruiser (YW),"209,336,500,359"
make=cobalt,make,Cruiser (YW),"209,336,425,959"
make=crownline,make,Cruiser (YW),"209,336,432,919"
class=Bowrider,class,Cruiser (YW),"209,334,301,959"
make=yamahaboats,make,Cruiser (YW),"209,336,624,199"
make=broward,make,Cruiser (YW),"209,336,409,879"
make=glastron,make,Cruiser (YW),"209,336,467,719"
class=fishandski,class,Cruiser (YW),"209,334,310,119"
make=hurricane,make,Cruiser (YW),"209,336,483,079"
make=regal,make,Cruiser (YW),"209,336,560,119"
class=cruiser,class,Cruiser (YW),"209,365,177,959"
make=fourwinns,make,Cruiser (YW),"209,336,460,999"
make=maxum,make,Cruiser (YW),"209,336,515,719"
make=chaparral,make,Cruiser (YW),"209,336,422,599"
make=formula,make,Cruiser (YW),"209,336,459,319"
make=bayliner,make,Cruiser (YW),"209,336,395,719"
class=powerbowrider,class,Cruiser (YW),"209,334,320,199"
make=rinker,make,Cruiser (YW),"209,336,562,759"
make=caravelle,make,Cruiser (YW),"209,336,417,559"
class=cuddycabin,class,Cruiser (YW),"209,334,306,039"
class=JetBoat,class,Cruiser (YW),"209,334,312,999"
class=powercuddycabin,class,Cruiser (YW),"209,334,322,839"
make=monterey,make,Cruiser (YW),"209,336,523,159"
make=bryant,make,Cruiser (YW),"209,336,410,599"
make=Trojan,make,Cruiser (YW),"209,336,606,439"
make=stingray,make,Cruiser (YW),"209,336,591,559"
make=chriscraft,make,Cruiser (YW),"209,336,424,279"
make=mariah,make,Cruiser (YW),"209,336,511,639"
make=tahoe,make,Cruiser (YW),"209,336,598,999"
class=powercruiser,class,Cruiser (YW),"209,334,322,359"
make=scarab,make,Cruiser (YW),"209,336,570,919"
make=cobalt,make,Cruiser/Bowrider (BTOL/BO),"209,336,425,959"
make=larson,make,Cruiser/Bowrider (BTOL/BO),"209,336,500,359"
make=crownline,make,Cruiser/Bowrider (BTOL/BO),"209,336,432,919"
class=Bowrider,class,Cruiser/Bowrider (BTOL/BO),"209,334,301,959"
class=runabout,class,Cruiser/Bowrider (BTOL/BO),"209,334,336,759"
make=yamahaboats,make,Cruiser/Bowrider (BTOL/BO),"209,336,624,199"
make=broward,make,Cruiser/Bowrider (BTOL/BO),"209,336,409,879"
