customtargetingkeyid,customertargetingname,customtargetingdisplay,customtargetingtype,customtargetingstatus,id,name,displayname,matchtype,status
590679,class,class,PREDEFINED,ACTIVE,209334298599,AftCabin,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334298839,Airboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334299319,angler,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334299799,any,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334300039,barge,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334300279,bassboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334300519,bassboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334300759,bayboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334300999,beachcatamaran,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334301959,Bowrider,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334302199,cargoship,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334302439,CATAMARANPOWER,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334302679,catamaransail,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334304359,Commercial,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334304839,convertible,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334305079,CRUISERPOWER,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334305799,cruiseship,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334306759,daysailers,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334306999,DaySailorWeekender,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334307479,deckboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334308199,diveboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334308679,dragger,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334309159,DuckBoat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334310599,flatsboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334310839,flybridge,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334311079,freshwaterfishing,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334311319,FreshwaterFishingBoats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334313479,jonboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334313719,ketch,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334313959,lobsterboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334314199,megayachts,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334314919,motoryacht,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334315159,motoryachts,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334315399,multihull,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334315639,multihulls,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334316119,other,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334316359,partstrailers,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334316599,passenger,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334317559,pontoon,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334317799,pontoonboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334318999,powerantiquesandclassics,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334319239,powerBarge,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334319719,powerbayboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334320199,powerbowrider,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334320679,powercatamarans,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334320919,powercenterconsole,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334321399,powercommercialboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334321879,powerconvertibleboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334322599,powerCruiseShip,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334323079,powerdeckboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334323319,powerDiveBoat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334323799,powerDragger,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334324039,powerexpresscruiser,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334325239,powerhouseboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334325479,powerhouseboats,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334325719,powerinflatable,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334326199,powerjetboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334327399,powermotorsailer,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334327879,powermotoryachts,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334328119,powerother,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334328839,powerpilothouse,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334329079,powerpontoonboat,NA,EXACT,ACTIVE
590679,class,class,PREDEFINED,ACTIVE,209334329319,powerpontoonboats,NA,EXACT,ACTIVE
